link_id,river_velocity1,lambda1,lambda2,max_storage,infiltration,percolation,surface_velocity,tr_subsurface,tr_groundwater,temp_threshold,melt_factor
489025,0.75,0,0,100,5,2,0.2,3,100,0,5
489208,0.75,0,0,100,5,2,0.2,3,100,0,5
489024,0.75,0,0,100,5,2,0.2,3,100,0,5
497538,0.75,0,0,100,5,2,0.2,3,100,0,5
491400,0.75,0,0,100,5,2,0.2,3,100,0,5
465637,0.75,0,0,100,5,2,0.2,3,100,0,5
471356,0.75,0,0,100,5,2,0.2,3,100,0,5
469346,0.75,0,0,100,5,2,0.2,3,100,0,5
482404,0.75,0,0,100,5,2,0.2,3,100,0,5
472677,0.75,0,0,100,5,2,0.2,3,100,0,5
471355,0.75,0,0,100,5,2,0.2,3,100,0,5
466140,0.75,0,0,100,5,2,0.2,3,100,0,5
466139,0.75,0,0,100,5,2,0.2,3,100,0,5
480280,0.75,0,0,100,5,2,0.2,3,100,0,5
466142,0.75,0,0,100,5,2,0.2,3,100,0,5
480278,0.75,0,0,100,5,2,0.2,3,100,0,5
463254,0.75,0,0,100,5,2,0.2,3,100,0,5
501590,0.75,0,0,100,5,2,0.2,3,100,0,5
466143,0.75,0,0,100,5,2,0.2,3,100,0,5
480279,0.75,0,0,100,5,2,0.2,3,100,0,5
467762,0.75,0,0,100,5,2,0.2,3,100,0,5
499041,0.75,0,0,100,5,2,0.2,3,100,0,5
499602,0.75,0,0,100,5,2,0.2,3,100,0,5
469215,0.75,0,0,100,5,2,0.2,3,100,0,5
494013,0.75,0,0,100,5,2,0.2,3,100,0,5
499601,0.75,0,0,100,5,2,0.2,3,100,0,5
469351,0.75,0,0,100,5,2,0.2,3,100,0,5
494282,0.75,0,0,100,5,2,0.2,3,100,0,5
468007,0.75,0,0,100,5,2,0.2,3,100,0,5
360116,0.75,0,0,100,5,2,0.2,3,100,0,5
477752,0.75,0,0,100,5,2,0.2,3,100,0,5
500096,0.75,0,0,100,5,2,0.2,3,100,0,5
487624,0.75,0,0,100,5,2,0.2,3,100,0,5
487622,0.75,0,0,100,5,2,0.2,3,100,0,5
494833,0.75,0,0,100,5,2,0.2,3,100,0,5
487615,0.75,0,0,100,5,2,0.2,3,100,0,5
487599,0.75,0,0,100,5,2,0.2,3,100,0,5
480912,0.75,0,0,100,5,2,0.2,3,100,0,5
487598,0.75,0,0,100,5,2,0.2,3,100,0,5
483492,0.75,0,0,100,5,2,0.2,3,100,0,5
470768,0.75,0,0,100,5,2,0.2,3,100,0,5
498508,0.75,0,0,100,5,2,0.2,3,100,0,5
469747,0.75,0,0,100,5,2,0.2,3,100,0,5
475342,0.75,0,0,100,5,2,0.2,3,100,0,5
475343,0.75,0,0,100,5,2,0.2,3,100,0,5
487596,0.75,0,0,100,5,2,0.2,3,100,0,5
486286,0.75,0,0,100,5,2,0.2,3,100,0,5
477102,0.75,0,0,100,5,2,0.2,3,100,0,5
487621,0.75,0,0,100,5,2,0.2,3,100,0,5
475344,0.75,0,0,100,5,2,0.2,3,100,0,5
487619,0.75,0,0,100,5,2,0.2,3,100,0,5
