date,val
1981-01-01,-9.75
1981-01-02,-15.3
1981-01-03,-14.15
1981-01-04,-7.25
1981-01-05,-1.65
1981-01-06,2.5
1981-01-07,3.3
1981-01-08,2.75
1981-01-09,-2.5
1981-01-10,-1.4
1981-01-11,-3.05
1981-01-12,-4.2
1981-01-13,-5.55
1981-01-14,-7.5
1981-01-15,-12.25
1981-01-16,-8.9
1981-01-17,-6.95
1981-01-18,-13.35
1981-01-19,-16.95
1981-01-20,-19.7
1981-01-21,-16.1
1981-01-22,-13.35
1981-01-23,-14.7
1981-01-24,-18.35
1981-01-25,-18.35
1981-01-26,-9.15
1981-01-27,-5.3
1981-01-28,-1.1
1981-01-29,0.8
1981-01-30,-13.35
1981-01-31,-15.55
1981-02-01,-9.75
1981-02-02,-5.3
1981-02-03,-3.9
1981-02-04,-2.8
1981-02-05,0
1981-02-06,-3.9
1981-02-07,-8.05
1981-02-08,-6.95
1981-02-09,-3.6
1981-02-10,-10.25
1981-02-11,-17.8
1981-02-12,-15
1981-02-13,-14.7
1981-02-14,-8.9
1981-02-15,-10
1981-02-16,-12.5
1981-02-17,-4.7
1981-02-18,-6.65
1981-02-19,-15.55
1981-02-20,-15
1981-02-21,-18.3
1981-02-22,-12.25
1981-02-23,-10.25
1981-02-24,-6.4
1981-02-25,-1.65
1981-02-26,-3.6
1981-02-27,-7.2
1981-02-28,-6.7
1981-03-01,-0.55
1981-03-02,1.95
1981-03-03,2.2
1981-03-04,-7.5
1981-03-05,-5
1981-03-06,-6.7
1981-03-07,-8.35
1981-03-08,-13.35
1981-03-09,-8.9
1981-03-10,-5
1981-03-11,-3.6
1981-03-12,3.9
1981-03-13,6.1
1981-03-14,6.1
1981-03-15,2.8
1981-03-16,-0.85
1981-03-17,0.8
1981-03-18,1.95
1981-03-19,2.8
1981-03-20,4.45
1981-03-21,6.4
1981-03-22,1.95
1981-03-23,0.55
1981-03-24,-2.25
1981-03-25,1.65
1981-03-26,4.7
1981-03-27,5
1981-03-28,-1.15
1981-03-29,1.4
1981-03-30,4.45
1981-03-31,6.65
1981-04-01,4.15
1981-04-02,1.4
1981-04-03,4.2
1981-04-04,3.85
1981-04-05,7.8
1981-04-06,10.85
1981-04-07,7.5
1981-04-08,5
1981-04-09,2.5
1981-04-10,4.7
1981-04-11,6.4
1981-04-12,2.5
1981-04-13,0.55
1981-04-14,2.2
1981-04-15,5.3
1981-04-16,11.35
1981-04-17,14.45
1981-04-18,8.9
1981-04-19,8.35
1981-04-20,10.25
1981-04-21,14.2
1981-04-22,14.2
1981-04-23,13.35
1981-04-24,16.35
1981-04-25,15
1981-04-26,7.5
1981-04-27,6.4
1981-04-28,5.55
1981-04-29,3.3
1981-04-30,6.65
1981-05-01,12.5
1981-05-02,16.65
1981-05-03,10
1981-05-04,8.05
1981-05-05,12.5
1981-05-06,16.65
1981-05-07,18.6
1981-05-08,12.8
1981-05-09,13.35
1981-05-10,12.5
1981-05-11,10
1981-05-12,9.2
1981-05-13,13.35
1981-05-14,11.95
1981-05-15,11.95
1981-05-16,13.35
1981-05-17,17.2
1981-05-18,16.65
1981-05-19,14.45
1981-05-20,15.3
1981-05-21,12.5
1981-05-22,14.45
1981-05-23,13.6
1981-05-24,12.8
1981-05-25,15.85
1981-05-26,21.65
1981-05-27,16.9
1981-05-28,10.85
1981-05-29,13.6
1981-05-30,17.2
1981-05-31,20
1981-06-01,20.25
1981-06-02,21.95
1981-06-03,20.6
1981-06-04,19.2
1981-06-05,20.55
1981-06-06,22.2
1981-06-07,21.4
1981-06-08,24.15
1981-06-09,20.85
1981-06-10,18.6
1981-06-11,21.1
1981-06-12,21.95
1981-06-13,20.55
1981-06-14,19.75
1981-06-15,22.25
1981-06-16,19.7
1981-06-17,17.25
1981-06-18,19.45
1981-06-19,20.55
1981-06-20,21.35
1981-06-21,22.2
1981-06-22,21.35
1981-06-23,20
1981-06-24,21.1
1981-06-25,22.2
1981-06-26,24.2
1981-06-27,21.4
1981-06-28,21.65
1981-06-29,19.45
1981-06-30,19.45
1981-07-01,20.25
1981-07-02,22.75
1981-07-03,21.4
1981-07-04,19.45
1981-07-05,20.55
1981-07-06,22.5
1981-07-07,25.55
1981-07-08,25.85
1981-07-09,21.95
1981-07-10,23.05
1981-07-11,25.3
