date,val
1/1/08,0
1/2/08,1
1/3/08,1
1/4/08,1
1/5/08,1
1/6/08,1
1/7/08,1
1/8/08,1
1/9/08,1
1/10/08,1
1/11/08,1
1/12/08,1
1/13/08,1
1/14/08,1
1/15/08,1
1/16/08,1
1/17/08,1
1/18/08,1
1/19/08,1
1/20/08,1
1/21/08,1
1/22/08,1
1/23/08,1
1/24/08,1
1/25/08,1
1/26/08,1
1/27/08,1
1/28/08,1
1/29/08,1
1/30/08,1
1/31/08,1
2/1/08,1
2/2/08,1
2/3/08,1
2/4/08,1
2/5/08,1
2/6/08,1
2/7/08,1
2/8/08,1
2/9/08,1
2/10/08,1
2/11/08,1
2/12/08,1
2/13/08,1
2/14/08,1
2/15/08,1
2/16/08,1
2/17/08,1
2/18/08,1
2/19/08,1
2/20/08,1
2/21/08,1
2/22/08,1
2/23/08,1
2/24/08,1
2/25/08,1
2/26/08,1
2/27/08,1
2/28/08,1
2/29/08,1
3/1/08,1
3/2/08,1
3/3/08,1
3/4/08,1
3/5/08,1
3/6/08,1
3/7/08,1
3/8/08,1
3/9/08,1
3/10/08,1
3/11/08,1
3/12/08,1
3/13/08,0
3/14/08,0
3/15/08,0
3/16/08,0
3/17/08,0
3/18/08,0
3/19/08,0
3/20/08,0
3/21/08,0
3/22/08,0
3/23/08,0
3/24/08,0
3/25/08,0
3/26/08,0
3/27/08,0
3/28/08,0
3/29/08,0
3/30/08,0
3/31/08,0
4/1/08,0
4/2/08,0
4/3/08,0
4/4/08,0
4/5/08,0
4/6/08,0
4/7/08,0
4/8/08,0
4/9/08,0
4/10/08,0
4/11/08,0
4/12/08,0
4/13/08,0
4/14/08,0
4/15/08,0
4/16/08,0
4/17/08,0
4/18/08,0
4/19/08,0
4/20/08,0
4/21/08,0
4/22/08,0
4/23/08,0
4/24/08,0
4/25/08,0
4/26/08,0
4/27/08,0
4/28/08,0
4/29/08,0
4/30/08,0
5/1/08,0
5/2/08,0
5/3/08,0
5/4/08,0
5/5/08,0
5/6/08,0
5/7/08,0
5/8/08,0
5/9/08,0
5/10/08,0
5/11/08,0
5/12/08,0
5/13/08,0
5/14/08,0
5/15/08,0
5/16/08,0
5/17/08,0
5/18/08,0
5/19/08,0
5/20/08,0
5/21/08,0
5/22/08,0
5/23/08,0
5/24/08,0
5/25/08,0
5/26/08,0
5/27/08,0
5/28/08,0
5/29/08,0
5/30/08,0
5/31/08,0
6/1/08,0
6/2/08,0
6/3/08,0
6/4/08,0
6/5/08,0
6/6/08,0
6/7/08,0
6/8/08,0
6/9/08,0
6/10/08,0
6/11/08,0
6/12/08,0
6/13/08,0
6/14/08,0
6/15/08,0
6/16/08,0
6/17/08,0
6/18/08,0
6/19/08,0
6/20/08,0
6/21/08,0
6/22/08,0
6/23/08,0
6/24/08,0
6/25/08,0
6/26/08,0
6/27/08,0
6/28/08,0
6/29/08,0
6/30/08,0
7/1/08,0
7/2/08,0
7/3/08,0
7/4/08,0
7/5/08,0
7/6/08,0
7/7/08,0
7/8/08,0
7/9/08,0
7/10/08,0
7/11/08,0
7/12/08,0
7/13/08,0
7/14/08,0
7/15/08,0
7/16/08,0
7/17/08,0
7/18/08,0
7/19/08,0
7/20/08,0
7/21/08,0
7/22/08,0
7/23/08,0
7/24/08,0
7/25/08,0
7/26/08,0
7/27/08,0
7/28/08,0
7/29/08,0
7/30/08,0
7/31/08,0
8/1/08,0
8/2/08,0
8/3/08,0
8/4/08,0
8/5/08,0
8/6/08,0
8/7/08,0
8/8/08,0
8/9/08,0
8/10/08,0
8/11/08,0
8/12/08,0
8/13/08,0
8/14/08,0
8/15/08,0
8/16/08,0
8/17/08,0
8/18/08,0
8/19/08,0
8/20/08,0
8/21/08,0
8/22/08,0
8/23/08,0
8/24/08,0
8/25/08,0
8/26/08,0
8/27/08,0
8/28/08,0
8/29/08,0
8/30/08,0
