date,val
1/1/08,-9.75
1/2/08,-15.3
1/3/08,-14.15
1/4/08,-7.25
1/5/08,-1.65
1/6/08,2.5
1/7/08,3.3
1/8/08,2.75
1/9/08,-2.5
1/10/08,-1.4
1/11/08,-3.05
1/12/08,-4.2
1/13/08,-5.55
1/14/08,-7.5
1/15/08,-12.25
1/16/08,-8.9
1/17/08,-6.95
1/18/08,-13.35
1/19/08,-16.95
1/20/08,-19.7
1/21/08,-16.1
1/22/08,-13.35
1/23/08,-14.7
1/24/08,-18.35
1/25/08,-18.35
1/26/08,-9.15
1/27/08,-5.3
1/28/08,-1.1
1/29/08,0.8
1/30/08,-13.35
1/31/08,-15.55
2/1/08,-9.75
2/2/08,-5.3
2/3/08,-3.9
2/4/08,-2.8
2/5/08,0
2/6/08,-3.9
2/7/08,-8.05
2/8/08,-6.95
2/9/08,-3.6
2/10/08,-10.25
2/11/08,-17.8
2/12/08,-15
2/13/08,-14.7
2/14/08,-8.9
2/15/08,-10
2/16/08,-12.5
2/17/08,-4.7
2/18/08,-6.65
2/19/08,-15.55
2/20/08,-15
2/21/08,-18.3
2/22/08,-12.25
2/23/08,-10.25
2/24/08,-6.4
2/25/08,-1.65
2/26/08,-3.6
2/27/08,-7.2
2/28/08,-6.7
2/29/08,-3.05
3/1/08,-0.55
3/2/08,1.95
3/3/08,2.2
3/4/08,-7.5
3/5/08,-5
3/6/08,-6.7
3/7/08,-8.35
3/8/08,-13.35
3/9/08,-8.9
3/10/08,-5
3/11/08,-3.6
3/12/08,3.9
3/13/08,6.1
3/14/08,6.1
3/15/08,2.8
3/16/08,-0.85
3/17/08,0.8
3/18/08,1.95
3/19/08,2.8
3/20/08,4.45
3/21/08,6.4
3/22/08,1.95
3/23/08,0.55
3/24/08,-2.25
3/25/08,1.65
3/26/08,4.7
3/27/08,5
3/28/08,-1.15
3/29/08,1.4
3/30/08,4.45
3/31/08,6.65
4/1/08,4.15
4/2/08,1.4
4/3/08,4.2
4/4/08,3.85
4/5/08,7.8
4/6/08,10.85
4/7/08,7.5
4/8/08,5
4/9/08,2.5
4/10/08,4.7
4/11/08,6.4
4/12/08,2.5
4/13/08,0.55
4/14/08,2.2
4/15/08,5.3
4/16/08,11.35
4/17/08,14.45
4/18/08,8.9
4/19/08,8.35
4/20/08,10.25
4/21/08,14.2
4/22/08,14.2
4/23/08,13.35
4/24/08,16.35
4/25/08,15
4/26/08,7.5
4/27/08,6.4
4/28/08,5.55
4/29/08,3.3
4/30/08,6.65
5/1/08,12.5
